#HD93521 OKe 1999
  3200      6.204    1.0 
  3201      6.204    1.0 
  3202      6.203    1.0 
  3203      6.202    1.0 
  3204      6.200    1.0 
  3205      6.198    1.0 
  3206      6.197    1.0 
  3207      6.195    1.0 
  3208      6.190    1.0 
  3209      6.185    1.0 
  3210      6.184    1.0 
  3211      6.182    1.0 
  3212      6.182    1.0 
  3213      6.182    1.0 
  3214      6.178    1.0 
  3215      6.175    1.0 
  3216      6.175    1.0 
  3217      6.176    1.0 
  3218      6.179    1.0 
  3219      6.184    1.0 
  3220      6.186    1.0 
  3221      6.187    1.0 
  3222      6.186    1.0 
  3223      6.183    1.0 
  3224      6.178    1.0 
  3225      6.171    1.0 
  3226      6.165    1.0 
  3227      6.163    1.0 
  3228      6.158    1.0 
  3229      6.157    1.0 
  3230      6.154    1.0 
  3231      6.154    1.0 
  3232      6.154    1.0 
  3233      6.159    1.0 
  3234      6.165    1.0 
  3235      6.172    1.0 
  3236      6.179    1.0 
  3237      6.187    1.0 
  3238      6.196    1.0 
  3239      6.204    1.0 
  3240      6.212    1.0 
  3241      6.219    1.0 
  3242      6.224    1.0 
  3243      6.226    1.0 
  3244      6.228    1.0 
  3245      6.229    1.0 
  3246      6.229    1.0 
  3247      6.230    1.0 
  3248      6.230    1.0 
  3249      6.231    1.0 
  3250      6.232    1.0 
  3251      6.233    1.0 
  3252      6.236    1.0 
  3253      6.237    1.0 
  3254      6.238    1.0 
  3255      6.239    1.0 
  3256      6.242    1.0 
  3257      6.243    1.0 
  3258      6.244    1.0 
  3259      6.248    1.0 
  3260      6.250    1.0 
  3261      6.259    1.0 
  3262      6.269    1.0 
  3263      6.276    1.0 
  3264      6.284    1.0 
  3265      6.285    1.0 
  3266      6.285    1.0 
  3267      6.283    1.0 
  3268      6.278    1.0 
  3269      6.276    1.0 
  3270      6.274    1.0 
  3271      6.271    1.0 
  3272      6.270    1.0 
  3273      6.270    1.0 
  3274      6.267    1.0 
  3275      6.263    1.0 
  3276      6.262    1.0 
  3277      6.261    1.0 
  3278      6.263    1.0 
  3279      6.268    1.0 
  3280      6.269    1.0 
